Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.34,Tue Sep 11 16:25:09 +0000 2018,0.0,0.833,0.167,RT @bbccomedy: Literally every time I auditioned for the school play.  #UpstartCrow @RealDMitchell https://t.co/pIhDkU2tXT,72,@BBC
0.783,Tue Sep 11 15:58:00 +0000 2018,0.0,0.712,0.288,"🧀Pastry, ham and gouda cheese...😋 

Combine them all to make a breakfast fit for kings in this wonderful centrepiec… https://t.co/oBXEW23R9z",73,@BBC
0.0,Tue Sep 11 14:18:08 +0000 2018,0.0,1.0,0.0,"RT @BBCSpringwatch: The New England colour change is so spectacular it can be seen from space 😲
#TuesdayThoughts #Autumnwatch https://t.co/…",74,@BBC
0.0,Tue Sep 11 13:00:20 +0000 2018,0.0,1.0,0.0,🎾🏔Tennis player @DjokerNole says a five-day hike in the mountains with his wife transformed his season.… https://t.co/HhWQLKLETX,75,@BBC
0.3291,Tue Sep 11 12:00:19 +0000 2018,0.0,0.899,0.101,"It can be expensive and the success rates are still relatively unknown, but lots of women under 35 are having their… https://t.co/zJFMatf5Cu",76,@BBC
0.5267,Tue Sep 11 11:05:05 +0000 2018,0.0,0.673,0.327,"🏡 Would a bigger house make you happier?

https://t.co/ChtZlzE4CQ https://t.co/B4hvdNF1y5",77,@BBC
-0.34,Tue Sep 11 08:50:06 +0000 2018,0.107,0.893,0.0,From Nicki Minaj and Cardi B to Lady Gaga and Madonna - here are 8 of the biggest feuds in pop music 🎶➡️… https://t.co/bWV2ghkB1X,78,@BBC
0.4939,Tue Sep 11 08:02:04 +0000 2018,0.0,0.824,0.176,"Holly helped save someone's life, and changed her own in the process. 
#SavingLivesAtSea via @BBCThree  https://t.co/1Ca63uE4RF",79,@BBC
-0.6771,Tue Sep 11 07:27:05 +0000 2018,0.293,0.707,0.0,"Why were there so many serial killers in the 1980s?
👉 https://t.co/JnQWlHeFvS https://t.co/F02uRnIBIU",80,@BBC
0.3612,Tue Sep 11 07:00:13 +0000 2018,0.0,0.828,0.172,❤️ This club in Glasgow is running nights aimed at promoting inclusivity. https://t.co/zCXTsZVJ2v,81,@BBC
